Time,Data
8.259999999999999787e+00,1.352364250568268744e+02
8.279999999999999361e+00,1.402763708528843267e+02
8.300000000000000711e+00,1.455465682162559631e+02
8.320000000000000284e+00,1.482320205842560199e+02
8.339999999999999858e+00,1.513175931072659637e+02
8.359999999999999432e+00,1.539880970983649888e+02
8.380000000000000782e+00,1.556283748030611207e+02
8.400000000000000355e+00,1.576233840078520529e+02
8.419999999999999929e+00,1.619582820072607774e+02
8.439999999999999503e+00,1.674185084526287426e+02
8.460000000000000853e+00,1.709898666123026771e+02
8.480000000000000426e+00,1.756586025818700705e+02
8.500000000000000000e+00,1.788114819947459750e+02
8.519999999999999574e+00,1.832358637976093974e+02
8.540000000000000924e+00,1.861197706718645009e+02
8.560000000000000497e+00,1.906519557013520227e+02
8.580000000000000071e+00,1.926219649078631448e+02
8.599999999999999645e+00,1.946201952994825604e+02
8.620000000000000995e+00,1.934379481022801315e+02
8.640000000000000568e+00,1.924674768732328971e+02
8.660000000000000142e+00,1.931020302213426589e+02
8.679999999999999716e+00,1.965358888945437172e+02
8.700000000000001066e+00,1.987643970220072731e+02
8.720000000000000639e+00,2.007839873346514423e+02
8.740000000000000213e+00,2.029922002208793117e+02
8.759999999999999787e+00,2.043876965095901710e+02
8.779999999999999361e+00,2.047702639081469442e+02
8.800000000000000711e+00,2.025408170590301040e+02
8.820000000000000284e+00,2.019013912151637555e+02
8.839999999999999858e+00,2.004551295701521099e+02
8.859999999999999432e+00,2.006062643157136733e+02
8.880000000000000782e+00,1.967600915342376879e+02
8.900000000000000355e+00,1.969229400694103447e+02
8.919999999999999929e+00,1.997021345520712714e+02
8.939999999999999503e+00,2.011059527916645209e+02
8.960000000000000853e+00,1.977435777756581103e+02
8.980000000000000426e+00,1.988250445499386387e+02
9.000000000000000000e+00,1.981611822822676743e+02
9.019999999999999574e+00,1.937635518382518285e+02
9.040000000000000924e+00,1.908443792247689430e+02
9.060000000000000497e+00,1.888164852792702106e+02
9.080000000000000071e+00,1.860932120047009448e+02
9.099999999999999645e+00,1.830883459688378139e+02
9.120000000000000995e+00,1.826160392035122015e+02
9.140000000000000568e+00,1.814907280533908533e+02
9.160000000000000142e+00,1.789270504356271090e+02
9.179999999999999716e+00,1.761397619807195554e+02
9.200000000000001066e+00,1.767436515312646179e+02
9.220000000000000639e+00,1.723534564789316619e+02
9.240000000000000213e+00,1.681837784209012057e+02
9.259999999999999787e+00,1.692489996151828962e+02
9.279999999999999361e+00,1.685632007096858445e+02
9.300000000000000711e+00,1.657400802126662711e+02
9.320000000000000284e+00,1.637928761622767411e+02
9.339999999999999858e+00,1.617342904404380590e+02
9.359999999999999432e+00,1.569764161612210671e+02
9.380000000000000782e+00,1.545306685464489931e+02
9.400000000000000355e+00,1.504077196814077979e+02
9.419999999999999929e+00,1.504174375214976749e+02
9.439999999999999503e+00,1.499688294964958288e+02
9.460000000000000853e+00,1.490699910329683746e+02
9.480000000000000426e+00,1.481280592874173578e+02
9.500000000000000000e+00,1.499491723531302512e+02
9.519999999999999574e+00,1.477384341725916101e+02
9.540000000000000924e+00,1.492998853548863565e+02
9.560000000000000497e+00,1.502364800639655584e+02
9.580000000000000071e+00,1.517500691091397584e+02
9.599999999999999645e+00,1.500413893339163565e+02
9.620000000000000995e+00,1.513100593635014377e+02
9.640000000000000568e+00,1.509545817351460073e+02
9.660000000000000142e+00,1.507723513992429503e+02
9.679999999999999716e+00,1.507596705428698840e+02
9.700000000000001066e+00,1.545117696515440571e+02
9.720000000000000639e+00,1.542228346894971480e+02
9.740000000000000213e+00,1.554860402440059488e+02
9.759999999999999787e+00,1.566935884454175891e+02
9.779999999999999361e+00,1.578367534416807985e+02
9.800000000000000711e+00,1.579059311746267440e+02
9.820000000000000284e+00,1.614906941751079330e+02
9.839999999999999858e+00,1.625798510655797315e+02
9.859999999999999432e+00,1.653615104319510181e+02
9.880000000000000782e+00,1.670231487016968686e+02
9.900000000000000355e+00,1.689516816424543038e+02
9.919999999999999929e+00,1.711335390747411225e+02
9.939999999999999503e+00,1.757547423741679609e+02
